"ID","Date","CrimeActivity","StormActivity","Zone","City"
2030540,2019-10-17,"Burglary","Strong Wind Rain","COASTAL MIAMI-DADE COUNTY","Miami Beach"
2030458,2019-10-18,"Property Crime","Flash Flood","MIAMI-DADE CO.","El Portal"
2030363,2019-10-18,"Murder and Non-negligent manslaughter","Hail","MIAMI-DADE CO.","Opa-locka"
2030448,2019-10-18,"Property Crime","Strong Wind Rain","COASTAL MIAMI-DADE COUNTY","Miami Lakes"
2030391,2019-10-18,"Murder and Non-negligent manslaughter","Tropical Storm","MIAMI-DADE CO.","Virginia Gardens"
2030430,2019-10-18,"Violent Crime","Strong Wind Rain","MIAMI-DADE CO.","Opa-locka"
2030360,2019-10-18,"Property Crime","Storm Surge/Tide","METROPOLITAN MIAMI-DADE","Pinecrest"
2030317,2019-10-19,"Violent Crime","Thunderstorm Wind","MIAMI-DADE CO.","Cutler Bay"
2030528,2019-10-19,"Violent Crime","Strong Wind Rain","METROPOLITAN MIAMI-DADE","Florida City"
2030548,2019-10-19,"Burglary","Hail","METROPOLITAN MIAMI-DADE","Homestead"
2030395,2019-10-19,"Burglary","Hail","METROPOLITAN MIAMI-DADE","Pinecrest"
2030488,2019-10-19,"Aggravated Assault","Tropical Storm","COASTAL MIAMI-DADE COUNTY","North Miami Beach"
2030514,2019-10-19,"Aggravated Assault","Storm Surge/Tide","MIAMI-DADE CO.","El Portal"
2030542,2019-10-19,"Motor Vehicle - Theft","Coastal Flood","COASTAL MIAMI-DADE COUNTY","Miami Springs"
2030536,2019-10-19,"Motor Vehicle - Theft","Flash Flood","COASTAL MIAMI-DADE COUNTY","Miami Springs"
2030519,2019-10-19,"Murder and Non-negligent manslaughter","Strong Wind Rain","INLAND MIAMI-DADE","Bal Harbour"
2030290,2019-10-20,"Larcency- Theft","Storm Surge/Tide","COASTAL MIAMI-DADE COUNTY","South Miami"
2030473,2019-10-20,"Murder and Non-negligent manslaughter","Storm Surge/Tide","MIAMI-DADE CO.","Cutler Bay"
2030467,2019-10-20,"Murder and Non-negligent manslaughter","Thunderstorm Wind","COASTAL MIAMI-DADE COUNTY","Miami Gardens"
2030325,2019-10-20,"Property Crime","Lightning","INLAND MIAMI-DADE","Palmetto Bay"
2030295,2019-10-20,"Robbery","Strong Wind Rain","COASTAL MIAMI-DADE COUNTY","West Miami"
2030428,2019-10-20,"Larcency- Theft","Storm Surge/Tide","COASTAL MIAMI-DADE COUNTY","West Miami"
2030426,2019-10-21,"Violent Crime","Coastal Flood","COASTAL MIAMI-DADE COUNTY","South Miami"
2030293,2019-10-21,"Robbery","Thunderstorm Wind","MIAMI-DADE CO.","Virginia Gardens"
2030431,2019-10-21,"Larcency- Theft","Storm Surge/Tide","COASTAL MIAMI-DADE COUNTY","South Miami"
2030577,2019-10-22,"Property Crime","Tropical Storm","METROPOLITAN MIAMI-DADE","Florida City"
2030575,2019-10-22,"Aggravated Assault","Hail","COASTAL MIAMI-DADE COUNTY","North Miami Beach"
2030444,2019-10-22,"Property Crime","Flash Flood","MIAMI-DADE CO.","Golden Beach"
2030520,2019-10-22,"Violent Crime","Hail","MIAMI-DADE CO.","Hialeah Gardens"
2030319,2019-10-22,"Burglary","Hail","INLAND MIAMI-DADE","Bay Harbor Islands"
2030587,2019-10-22,"Burglary","Thunderstorm Wind","COASTAL MIAMI-DADE COUNTY","North Bay Village"
2030584,2019-10-22,"Aggravated Assault","Strong Wind Rain","MIAMI-DADE CO.","Cutler Bay"
2030495,2019-10-22,"Violent Crime","Lightning","MIAMI-DADE CO.","El Portal"
2030505,2019-10-23,"Murder and Non-negligent manslaughter","Hail","COASTAL MIAMI-DADE COUNTY","North Miami Beach"
2030574,2019-10-23,"Property Crime","Tropical Storm","COASTAL MIAMI-DADE COUNTY","North Miami"
2030541,2019-10-24,"Motor Vehicle - Theft","Flash Flood","MIAMI-DADE CO.","Opa-locka"
2030552,2019-10-24,"Larcency- Theft","Storm Surge/Tide","COASTAL MIAMI-DADE COUNTY","North Bay Village"
2030481,2019-10-24,"Property Crime","Lightning","COASTAL MIAMI-DADE COUNTY","North Miami"
2030512,2019-10-24,"Aggravated Assault","Storm Surge/Tide","MIAMI-DADE CO.","El Portal"
2030580,2019-10-24,"Burglary","Coastal Flood","METROPOLITAN MIAMI-DADE","Pinecrest"
2030466,2019-10-25,"Larcency- Theft","Thunderstorm Wind","MIAMI-DADE CO.","Hialeah Gardens"
2030477,2019-10-25,"Property Crime","Flash Flood","MIAMI-DADE CO.","Indian Creek"
2030378,2019-10-25,"Aggravated Assault","Storm Surge/Tide","COASTAL MIAMI-DADE COUNTY","Sunny Isles Beach"
2030502,2019-10-25,"Property Crime","Strong Wind Rain","COASTAL MIAMI-DADE COUNTY","Key Biscayne"
2030379,2019-10-25,"Burglary","Hail","METROPOLITAN MIAMI-DADE","Homestead"
2030393,2019-10-25,"Larcency- Theft","Thunderstorm Wind","MIAMI-DADE CO.","Virginia Gardens"
2030327,2019-10-26,"Larcency- Theft","Strong Wind Rain","COASTAL MIAMI-DADE COUNTY","Miami Gardens"
2030570,2019-10-26,"Aggravated Assault","Tropical Storm","MIAMI-DADE CO.","Virginia Gardens"
2030534,2019-10-26,"Aggravated Assault","Hail","COASTAL MIAMI-DADE COUNTY","Miami Shores"
2030524,2019-10-26,"Murder and Non-negligent manslaughter","Lightning","MIAMI-DADE CO.","Hialeah Gardens"
2030303,2019-10-26,"Burglary","Hail","METROPOLITAN MIAMI-DADE","Hialeah"
2030438,2019-10-27,"Property Crime","Tropical Storm","COASTAL MIAMI-DADE COUNTY","Miami Shores"
2030308,2019-10-27,"Violent Crime","Storm Surge/Tide","COASTAL MIAMI-DADE COUNTY","Miami Gardens"
2030462,2019-10-27,"Burglary","Lightning","COASTAL MIAMI-DADE COUNTY","Miami Gardens"
2030535,2019-10-27,"Burglary","Hail","INLAND MIAMI-DADE","Bal Harbour"
2030560,2019-10-27,"Motor Vehicle - Theft","Hail","COASTAL MIAMI-DADE COUNTY","Miami Shores"
2030555,2019-10-28,"Robbery","Thunderstorm Wind","COASTAL MIAMI-DADE COUNTY","North Miami"
2030450,2019-10-28,"Violent Crime","Flash Flood","MIAMI-DADE CO.","Hialeah Gardens"
2030498,2019-10-28,"Property Crime","Coastal Flood","INLAND MIAMI-DADE","Miami"
2030316,2019-10-28,"Violent Crime","Storm Surge/Tide","INLAND MIAMI-DADE","Palmetto Bay"
2030366,2019-10-28,"Murder and Non-negligent manslaughter","Tropical Storm","MIAMI-DADE CO.","Cutler Bay"
2030516,2019-10-29,"Robbery","Hail","INLAND MIAMI-DADE","Bal Harbour"
2030389,2019-10-29,"Robbery","Flash Flood","MIAMI-DADE CO.","Golden Beach"
2030460,2019-10-29,"Violent Crime","Hail","MIAMI-DADE CO.","Cutler Bay"
2030507,2019-10-29,"Burglary","Coastal Flood","COASTAL MIAMI-DADE COUNTY","South Miami"
2030405,2019-10-30,"Murder and Non-negligent manslaughter","Tropical Storm","COASTAL MIAMI-DADE COUNTY","Sunny Isles Beach"
2030471,2019-10-30,"Aggravated Assault","Lightning","COASTAL MIAMI-DADE COUNTY","Miami Springs"
2030468,2019-10-30,"Motor Vehicle - Theft","Strong Wind Rain","METROPOLITAN MIAMI-DADE","Hialeah"
2030367,2019-10-30,"Motor Vehicle - Theft","Tropical Storm","INLAND MIAMI-DADE","Bay Harbor Islands"
2030376,2019-10-31,"Property Crime","Tropical Storm","METROPOLITAN MIAMI-DADE","Homestead"
2030490,2019-10-31,"Aggravated Assault","Thunderstorm Wind","MIAMI-DADE CO.","El Portal"
2030500,2019-10-31,"Motor Vehicle - Theft","Thunderstorm Wind","COASTAL MIAMI-DADE COUNTY","Miami Beach"
2030463,2019-10-31,"Burglary","Hail","INLAND MIAMI-DADE","Bay Harbor Islands"
2030472,2019-10-31,"Aggravated Assault","Hail","METROPOLITAN MIAMI-DADE","Pinecrest"
2030333,2019-10-31,"Murder and Non-negligent manslaughter","Strong Wind Rain","INLAND MIAMI-DADE","Bay Harbor Islands"
2030364,2019-10-31,"Motor Vehicle - Theft","Lightning","COASTAL MIAMI-DADE COUNTY","South Miami"
2030334,2019-10-31,"Murder and Non-negligent manslaughter","Thunderstorm Wind","METROPOLITAN MIAMI-DADE","Homestead"
